Title,Rating,Votes,Duration,Genres
429. Famous Patrick (A Super SpongeBob Fan Movie),8.7,26,53,adventure
432. Xin Longmen kezhan,2.9,7,73,adventure
436. The Last Five Days: The Freak Building,3.7,60,61,adventure
437. Bratya,2.8,135,103,adventure
442. Novyy god v Beryozovke,7.0,101,94,adventure
443. LUDA,7.2,6,86,adventure
445. Boom!,8.3,11,90,adventure
447. Frankenstein Theater: The Magic Sword,4.1,24,82,adventure
448. YA - medved,5.1,60,97,adventure
450. Chyortov kamen,4.0,24,105,adventure
455. The Kingfish 2,7.9,12,72,adventure
458. Piri Reis: The Incredible Chart,7.0,27,138,adventure
464. Suvorovets 1944,3.3,27,90,adventure
465. No More Trouble - Cosa rimane di una tempesta,8.6,20,97,adventure
466. Banana Boat,5.5,21,78,adventure
468. Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,65,adventure
469. Ivan Tsarevich i Seryy Volk 6,5.3,106,85,adventure
470. Mesken (Messuage),7.4,45,102,adventure
471. Tri kota. Zimnie kanikuly,6.5,36,65,adventure
472. Isle: Alpha One,8.7,8,97,adventure
474. The Very Last Christmas,8.6,12,75,adventure
475. Mai Martaba,4.8,10,86,adventure
476. Suchana,8.7,512,90,adventure
478. The Bigfoot Prophecy,4.8,23,117,adventure
"486. Poymay sobaku, esli smozhesh",3.5,39,96,adventure
488. Okhota na russkogo geniya,5.1,12,71,adventure
492. PW V: Tears of the Fallen,8.2,11,60,adventure
493. Beyaz Zenciler: Yapim Asamasi,8.6,5,55,adventure
503. Príncipe Lu e a Lenda do Dragão,4.1,29,90,adventure
505. A Christmas Carol,9.8,12,39,adventure
507. Il ricercatore,6.4,9,71,adventure
511. Let's Go! Anpanman: Baikinman and Lulun,6.5,8,64,adventure
517. Pirates & Slaves,5.8,6,53,adventure
526. Kyle and the Last Emerald 2,8.4,9,15,adventure
527. I'm Professional,3.7,8,95,adventure
534. Turbozavry. God drakona,9.0,44,48,adventure
535. Tayna Chyornoy Ruki,5.7,24,84,adventure
540. Mukhadrakon,5.3,18,109,adventure
541. Antarctic Voyage,5.8,7,48,adventure
549. Lajjpal,9.0,8,252,adventure
563. Sehnsucht nach Firdaws,8.7,7,103,adventure
571. Oda: Vlucht door de Eeuwen,6.4,7,102,adventure
581. Selebryata,3.8,20,93,adventure
